D Particles,X Position,Y Position,Z Position,X Velocity,Y Velocity,Z Velocity,T Velocity
436754.7806,11.61641144,9.515972265,14.45201506,10.77784594,7.557209927,13.55729748,30.22103001
432765.0967,11.91782492,9.769626445,14.79341125,10.49354428,7.360489393,13.16512349,29.25390834
360539.5431,11.04017297,9.036356887,13.65648524,9.444592303,6.623843736,11.86381298,26.40061018
336378.4833,9.342976863,7.630143632,11.63081502,10.12763747,7.103484914,12.85841025,28.92131657
432757.5413,10.20922543,8.348372009,12.80029878,11.83736959,8.300705319,15.02775631,33.80839375
481665.5868,11.87673575,9.742476886,14.81486987,11.5919915,8.135783136,14.59269378,32.51230627
440293.1562,11.6864452,9.575082538,14.53831515,10.80841748,7.579312186,13.59173754,30.2850194
438801.4847,11.8274069,9.694907124,14.69705267,10.68618161,7.495898894,13.4217088,29.85642731
385669.7896,11.55682978,9.474012044,14.29018351,9.712122234,6.818062192,12.17236931,26.98844205
329065.3948,9.636665103,7.868538708,11.96871302,9.666825394,6.776763262,12.24426043,27.4937994
398406.0884,9.661493887,7.88868298,12.1114169,11.46850996,8.037572825,14.58516124,32.89508499
483742.0856,11.58979449,9.50293862,14.48446164,11.85536051,8.319655767,14.95556851,33.39731207
451027.1295,11.86797144,9.736749891,14.75365944,10.94751069,7.686063348,13.7547475,30.570526
438558.845,11.69524518,9.582796638,14.5452802,10.76567653,7.549738585,13.5353706,30.151282
408246.2189,11.82112892,9.688875373,14.64135531,10.0258439,7.03294223,12.56409506,27.88308939
335458.1087,10.19707282,8.34226801,12.62321551,9.434432921,6.62214983,11.90268592,26.57469552
368134.7391,9.355073023,7.639986772,11.69696382,10.9787632,7.699127272,13.96424703,31.47267485
471032.179,11.06068066,9.051231719,13.86201079,11.96800613,8.388293709,15.14393004,33.98007592
461902.5559,11.90060883,9.752987997,14.82320281,11.12192137,7.798291023,13.98432419,31.16077962
437206.1496,11.63163096,9.530926784,14.46755978,10.78440618,7.563847307,13.56366925,30.21975761
,,,,,,,
427189.8173,11.95603927,9.80624769,14.82285835,10.36414926,7.274210555,12.99192759,28.81966536
349858.0319,10.75706124,8.80349641,13.30556175,9.38653893,6.58538827,11.80604803,26.2941196
343962.7045,9.252825993,7.551834796,11.54232656,10.40375369,7.293540098,13.22463018,29.80011896
448134.6578,10.49717398,8.583822965,13.1662207,11.93280535,8.364394657,15.13512483,34.03669649
477461.7671,11.97387966,9.827622533,14.91589595,11.44493234,8.03661706,14.39260566,32.010264
438000.1447,11.64695239,9.543079566,14.48746841,10.78901527,7.566529096,13.56887336,30.23303535
437296.2844,11.91035322,9.768041009,14.78611196,10.61064569,7.446638247,13.31570296,29.57479867
371593.9728,11.28444941,9.240469979,13.95828128,9.545456861,6.695277822,11.97785071,26.62175703
330724.5135,9.425255528,7.69143093,11.72653071,9.879304395,6.923717787,12.53427623,28.2030996
417017.3138,9.942243428,8.125277469,12.46489449,11.69053314,8.196437457,14.85449229,33.45534244
483261.2313,11.74338378,9.627266907,14.66739417,11.71332976,8.217022468,14.76184198,32.9479951
445514.6885,11.7968519,9.676641654,14.66306144,10.87556674,7.634931612,13.66667271,30.38347007
439143.2883,11.76219777,9.639422709,14.62312547,10.73461392,7.528762027,13.48984841,30.03074063
395992.7348,11.68106644,9.571018676,14.45979582,9.842415987,6.90348478,12.33611704,27.38577637
330507.8063,9.875312331,8.069382259,12.24642407,9.527579519,6.682006539,12.04701416,26.98810726
382913.2916,9.469318597,7.728352869,11.86282203,11.24275429,7.87851784,14.30389458,32.27843177
479223.7322,11.35349574,9.299668605,14.21033138,11.92399161,8.36181093,15.0643517,33.72361413
455353.0342,11.87616279,9.735936172,14.77994628,11.00981462,7.722804736,13.8387675,30.80884231
437861.5734,11.65579077,9.55046528,14.49751138,10.77983935,7.560128205,13.55631096,30.20253352
417615.5482,11.89265944,9.748442,14.7398845,10.18315798,7.143028026,12.76352109,28.33234874
341728.578,10.48154167,8.580661531,12.96303832,9.396270539,6.597493438,11.83371311,26.36176562
355448.5328,9.26838337,7.565797609,11.57791102,10.7078791,7.507375615,13.61850276,30.70057562
461977.3432,10.81186111,8.84613377,13.55478216,11.98116179,8.399053978,15.1768612,34.08224033
468140.0103,11.91012043,9.760120744,14.84531377,11.2456547,7.884189139,14.14487039,31.53453121
437480.3656,11.64084838,9.540612002,14.47617173,10.79044043,7.569873522,13.56990805,30.22072229
431741.3752,11.90736399,9.758662832,14.78242928,10.47128922,7.342889097,13.13799767,29.20638868
359146.1685,11.00609365,9.007972423,13.61450863,9.434048179,6.61641976,11.85242776,26.3796644
336610.3134,9.311379584,7.60061941,11.59846479,10.1503365,7.116437842,12.89156512,29.02197139
435982.1512,10.2814788,8.414544647,12.88178831,11.87120105,8.329871431,15.06398635,33.84484675
480756.9905,11.87471265,9.738579006,14.81394004,11.5667955,8.116156171,14.56112813,32.45301313
,,,,,,,
440282.0509,11.69204502,9.581729295,14.54228397,10.81067777,7.582674266,13.59333803,30.27599047
439968.5419,11.87957538,9.745816012,14.75020101,10.69980999,7.512131259,13.43219582,29.82796923
383846.5712,11.52145027,9.442782681,14.24820373,9.688083923,6.799645533,12.14443642,26.93999738
328787.3785,9.597781824,7.834207022,11.9254171,9.683728547,6.786739292,12.26969819,27.57030431
402441.3267,9.74852174,7.970913602,12.20659316,11.52529578,8.086183028,14.64841946,32.96917669
482662.9784,11.57458812,9.483821581,14.47346039,11.82213443,8.290611749,14.91652664,33.34813966
448017.8392,11.7846553,9.654722683,14.66794592,10.90005212,7.641503858,13.70493908,30.54400675
439680.8981,11.73623573,9.622668606,14.58751803,10.7800717,7.564959398,13.54846741,30.14089835
407113.4053,11.81620675,9.686082992,14.63213988,10.00845183,7.021944528,12.54121642,27.82323082
333760.6457,10.12161571,8.272801615,12.540794,9.424041843,6.608827098,11.89744523,26.61399634
369940.0433,9.370119519,7.65261005,11.71730334,11.01365223,7.723698033,14.00862256,31.57211456
472742.7985,11.11323613,9.098239427,13.92173566,11.97352465,8.395097735,15.14593039,33.95717387
461779.1508,11.9204119,9.773438305,14.84098508,11.11813115,7.799191044,13.97612169,31.11512802
437145.8369,11.62950872,9.528478824,14.4658604,10.78236996,7.561811428,13.56149583,30.21913836
425418.1565,11.92456966,9.775030486,14.7896712,10.3306357,7.246257902,12.95296163,28.76454458
347918.8464,10.69201452,8.744579344,13.23251412,9.368077568,6.568142462,11.7887623,26.29272436
345464.915,9.260812443,7.560337389,11.55171922,10.44424935,7.323533582,13.27580358,29.90593075
452849.1211,10.62093883,8.70135796,13.29897895,11.984817,8.413859393,15.18729553,34.05142023
474390.0148,11.90511666,9.758014173,14.8468344,11.38922605,7.98654715,14.33090003,31.95226687
437470.7245,11.63180734,9.528579813,14.47138238,10.78197296,7.559906715,13.5616826,30.23005771
435775.3751,11.87806107,9.734776424,14.75414463,10.57920586,7.418911365,13.28013345,29.5357939
369660.729,11.23788718,9.198976,13.90426633,9.522283248,6.676597405,11.95225321,26.58613696
331590.9068,9.420535727,7.690045502,11.71924353,9.915384108,6.951170691,12.58013788,28.29456578
418756.3064,9.964684842,8.142081862,12.49631106,11.70669567,8.206171605,14.87503158,33.51039394
482451.4812,11.74152636,9.622570805,14.66804353,11.68681719,8.195635277,14.72900184,32.89133143
444217.9673,11.76422442,9.645273226,14.62833043,10.85672032,7.617976092,13.64646913,30.36696288
438850.5825,11.76061568,9.636543465,14.62280506,10.72431058,7.520146697,13.47730619,30.01138159
394378.3216,11.65718863,9.550365173,14.43031398,9.819442631,6.886715868,12.30829889,27.32985035
329560.5718,9.818836,8.01828556,12.1841685,9.532195019,6.681479717,12.05871213,27.04826117
385082.652,9.497092755,7.75233296,11.89759033,11.27693335,7.903300872,14.34614714,32.3664407
,,,,,,,
478855.255,11.35320243,9.294610051,14.21571371,11.89968881,8.340495156,15.0351022,33.68492534
455070.3355,11.88655557,9.747433025,14.78795356,11.0056807,7.722463338,13.83131355,30.77304331
437573.8766,11.64742293,9.541294576,14.49011408,10.77228227,7.552862581,13.5481243,30.19809742
416046.8835,11.87124241,9.728221248,14.71539886,10.1554503,7.121496811,12.73014982,28.27289204
339525.0213,10.39582719,8.501167151,12.8696726,9.374851931,6.575134615,11.81559558,26.38179166
356323.1884,9.253760841,7.550099515,11.56683132,10.73300944,7.521838574,13.65393412,30.80560082
463110.9929,10.83938246,8.867642002,13.59052378,11.97860624,8.396054784,15.17238166,34.07602241
467387.6421,11.91248296,9.762522188,14.84629974,11.22933718,7.873156294,14.12328494,31.48175979
436689.2529,11.61493899,9.514843255,14.45006932,10.77776508,7.55724053,13.55724942,30.22056456
431626.6155,11.92869145,9.779564836,14.80310646,10.46476749,7.341139922,13.12652055,29.15784039
358605.4675,11.00321695,9.010858064,13.60369963,9.439987083,6.625272048,11.85775272,26.36087808
336960.7565,9.28346787,7.574602828,11.57005078,10.17475634,7.130993147,12.92649756,29.12353306
436193.998,10.26560314,8.392551146,12.87514964,11.86003294,8.314283198,15.0549503,33.87875171
479012.6727,11.84709894,9.709216655,14.7872423,11.52907667,8.084037876,14.5170614,32.39364467
441438.9132,11.73574699,9.626438729,14.58442945,10.83218286,7.605187506,13.61426007,30.2678219
439656.4236,11.88288576,9.747886889,14.75443237,10.68863997,7.503693986,13.41776394,29.79826079
381145.5928,11.45272297,9.378322404,14.17275896,9.648074563,6.765150398,12.10068496,26.89282969
